# 27GHz 39GHz 93GHz 145GHz 225GHz 280GHz
-0.004488875659054832 0.00013014575643958677 0.6497123549482805 0.46362263981829804 -0.049209832542869134 -0.059766432321094055 
-0.0037862800272669165 -0.0004928563057061948 0.6426419771493486 0.4727634116120419 -0.05071706068592796 -0.06040919174248947 
-0.0036644397771394065 -0.0007102859387103632 0.6271113105062518 0.49014157952167847 -0.05293481762830383 -0.059943346683776426 
-0.0027873826835053844 -0.002099831685084419 0.6415132153521712 0.4716031257947164 -0.04710099130789978 -0.06112813547039807 
-0.004186125187723721 -0.0012997385287077713 0.6418717011566518 0.4738432652554856 -0.04851798047994308 -0.061711122215762755 
-0.003458288225785656 -0.0026923296645165735 0.6474502187327003 0.46430060295804876 -0.04416341450263687 -0.061436789297809866 
-0.004377383945740701 -0.001285910574000763 0.6391043357829177 0.4792661416214043 -0.051825662550099044 -0.06088152033448137 
-0.003694772794042167 -0.0006935418510235507 0.6308336979684513 0.483133389417377 -0.04667624299475829 -0.0629025297460044 
-0.0034889203932209935 -0.0019421721980218052 0.6321977320840865 0.48785529637314745 -0.05486581194528291 -0.059756123920708205 
-0.003658130817559165 -0.0012629101306022433 0.6497726833839643 0.4643590253917353 -0.048962686367119014 -0.06024798146041919 
-0.004256600089294459 0.000537906023860297 0.6451350038729624 0.46882579755207593 -0.05232171268242491 -0.05792039467717954 
-0.004118342667799654 0.0008625692274476826 0.6326423479971269 0.47935042722374316 -0.04625510994149714 -0.06248189183902107 
-0.0039135228286311515 -0.0014054383485349775 0.6537076812934495 0.4629440983829968 -0.05287259059394746 -0.05846022790533252 
-0.0038825799906868123 -0.000638101558614568 0.6402692044418942 0.4799729982484934 -0.05762916881777217 -0.058092352323314084 
-0.004196802027868635 -0.0003905817975968748 0.6524994267900935 0.4583391775074613 -0.04657860952258054 -0.059672610949508764 
-0.00445993076688236 0.0018384115606164975 0.633145858747047 0.48127287983720346 -0.0508334133541602 -0.060963806023824466 
-0.003997166161704364 -0.003139123342524921 0.6442475998610602 0.4722387082394653 -0.04891433201862999 -0.06043568657766621 
-0.004266110024858942 -0.00041686066126448676 0.638742734062414 0.48200811191894294 -0.0580136644813736 -0.058054210813859974 
-0.003732030341411719 0.00039370731964337815 0.6363778296943451 0.47373911041131883 -0.04440329547911343 -0.06237532160478197 
-0.003098797962125908 -0.003543114890580575 0.6415550701885474 0.4763054825088878 -0.05004229413181033 -0.06117634571291836 
-0.0028919003295926455 -0.0016508007110427583 0.6323795599522298 0.47772031931988057 -0.04406662061021868 -0.0614905576212563 
-0.004140550098853662 -0.0003688045276812153 0.6515629177090227 0.46392245762629464 -0.05341926339275737 -0.05755675731602516 
-0.004597616799411409 0.0010783625178427865 0.6339660342543243 0.4813953562994862 -0.05128567623674508 -0.0605564600354967 
-0.004180328452127422 0.00037523879183717836 0.6403598532208038 0.4758973194496755 -0.053770483514335596 -0.05868159949585356 
-0.003241520337982696 -0.0024535457228310486 0.6084154088461758 0.50414639179425 -0.04080411050336066 -0.0660626240762514 
-0.004010742819983485 -8.820405074327433e-05 0.655867320736945 0.4569200971053356 -0.048934781902658125 -0.05975368906889565 
-0.004562126798451789 -7.414704797193702e-05 0.6363040830335415 0.47460877247733807 -0.04424101804649032 -0.06203556361796551 
-0.0034802218187711758 -0.002968257918487448 0.6396367369726996 0.4791669066295177 -0.05188912826119859 -0.06046603560376021 
-0.0028969870382481175 -0.002826283679105662 0.6390706858806681 0.4784856649758003 -0.05276843214820467 -0.05906464799091003 
-0.00345714562506421 -0.0016650607311093496 0.6314871143690761 0.49027289445387967 -0.05849875714957294 -0.05813904531720934 
-0.003555207762193475 -0.002338438263272021 0.6561383163143837 0.45646576609311895 -0.04552583484629112 -0.06118460153574605 
-0.0030123545047094752 -0.0009442417367297408 0.6398476802412597 0.4705960483261303 -0.04539163759941864 -0.06109549472653208 
-0.004083382105520352 -0.0006507258236075864 0.6380667634300543 0.48097305030751464 -0.055548928150060885 -0.05875677765837996 
-0.0030280782669228575 -0.004209100115537077 0.6419009993193528 0.4733052438038956 -0.04793278322482629 -0.0600362815159623 
-0.0037429185324701943 -0.0012872871908590558 0.6323606676229313 0.48297149500587155 -0.048214792512274854 -0.06208716439319875 
-0.0034358005863737644 -0.00044856071022426506 0.6307584058846395 0.4920894663390509 -0.06073392754250714 -0.05822958338458507 
